2643625|101614|0|3064|0|0|1|30|20024|11694|E
2646765|101631|0|23814|0|0|1|30|20024|48736|E
2643737|101639|2|23138|0|0|1|30|20024|51995|E
2639101|101641|0|6940|0|0|0|0|20024|39492|E
2645085|101646|0|4413|0|0|0|0|20024|10141|E
2652069|101649|0|50279|0|0|0|0|20024|60309|E
2630901|101667|0|0|0|0|0|0|20024|0|A
2645597|101668|0|77|2|4416|2|80|20024|634|A
2627585|101688|2|7401|0|0|1|350|20024|28206|A
2644349|101701|0|0|0|0|0|0|20024|0|E
2648597|101709|0|0|0|0|0|0|20024|0|A
2704193|101742|1|30408|0|0|1|11750|20024|58013|E
2627605|101748|7|6930|8|26879|2|230|20024|20782|A
2621401|101757|10|7281|1|2380|2|9181|20024|41951|E
2631025|101759|3|15706|0|0|2|1819|20024|37915|E
2652129|101761|0|7141|0|0|2|8861|20024|17675|E
2648145|101784|1|5026|0|0|0|0|20024|34176|E
2653629|101799|1|34329|2|859|3|640|20024|51832|E
2632825|101803|1|11291|0|0|1|390|20024|32537|E
2692113|101805|21|28499|4|6297|4|511|20024|43784|E
2632845|101810|1|16921|1|1000|2|120|20024|48125|E
2646785|101818|0|35145|0|0|3|692|20024|49542|E
2647269|101833|1|8128|0|0|0|0|20024|30869|A
2642117|101835|3|5903|15|28017|4|380|20024|25552|E
2659777|101871|2|19278|0|0|2|16041|20024|40405|E
2645729|101873|1|27395|0|0|1|40|20024|49735|E
2632309|101877|0|13231|0|0|0|0|20024|52994|E
2640781|101889|4|1567|2|1029|0|0|20024|14179|A
2639949|101897|0|0|0|0|0|0|20024|0|E
2701113|101907|4|0|0|0|0|0|20024|0|E
2699793|101915|0|0|0|0|0|0|20024|0|E
2638985|101916|1|7248|0|0|1|30|20024|41898|E
2648185|101929|0|25745|0|0|2|160|20024|41588|E
2654877|101951|0|4631|0|0|2|100|20024|20939|A
2652149|101960|3|0|0|0|0|0|20024|0|E
2642045|101964|1|24774|0|0|2|5690|20024|49913|E
2663777|101974|0|12756|0|0|2|370|20024|36579|E
2663797|101980|3|37019|0|0|1|40|20024|50826|E
2649585|101987|1|10035|0|0|2|261|20024|25745|A
2641469|101995|0|3656|0|0|0|0|20024|11960|E
2645637|101996|2|24750|0|0|4|729|20024|40008|E
2618321|102019|0|5062|0|0|0|0|20024|41800|E
2631085|102030|4|13114|0|0|2|1657|20024|27538|E
2619761|102043|5|5278|1|1100|0|0|20024|20773|A
2662457|102045|6|8796|0|0|1|36|20024|27974|A
2641489|102051|0|10025|1|441|2|148|20024|18000|E
2646825|102065|5|14144|0|0|2|521|20024|43947|E
2702473|102080|2|10283|0|0|2|290|20024|16854|E
2694913|102120|2|0|0|0|0|0|20024|0|E
2683973|102125|0|0|0|0|0|0|20024|0|E
2650189|102136|1|0|0|0|0|0|20024|0|E
2648205|102138|0|3143|1|537|1|180|20024|37063|E
2635689|102140|3|3739|0|0|1|50|20024|46206|E
2699813|102142|1|2508|0|0|0|0|20024|13569|E
2618341|102145|1|9998|0|0|0|0|20024|21610|E
2639121|102154|0|0|0|0|0|0|20024|0|A
2643665|102173|0|27079|0|0|2|879|20024|41758|E
2635525|102187|0|0|0|0|0|0|20024|0|E
2637305|102195|2|12755|0|0|2|160|20024|31367|E
2707493|102198|0|46811|3|2243|0|0|20024|61035|E
2648225|102213|1|18967|0|0|1|40|20024|53293|E
2631105|102214|1|36307|0|0|2|4360|20024|61538|E
2626341|102218|0|40405|0|0|2|231|20024|55846|E
2643685|102228|0|8132|0|0|0|0|20024|49356|E
2640485|102236|2|9933|2|3194|1|220|20024|27931|E
2639141|102238|0|16504|0|0|0|0|20024|45168|E
2663817|102244|1|8876|0|0|1|40|20024|27639|E
2632401|102247|3|32833|1|430|4|983|20024|57469|E
2685473|102260|0|7335|0|0|1|130|20024|38650|E
2701153|102261|4|10247|0|0|0|0|20024|39605|E
2653537|102279|0|0|0|0|0|0|20024|0|E
2686953|102296|0|6734|0|0|1|30|20024|24429|E
2651225|102303|0|8778|0|0|3|1430|20024|35651|E
2641961|102308|3|13452|0|0|0|0|20024|32507|E
2688593|102310|1|25222|0|0|3|341|20024|38980|E
2623081|102312|1|28180|1|305|1|35|20024|52988|E
2659817|102318|0|0|0|0|0|0|20024|0|E
2635941|102324|1|24607|0|0|2|110|20024|46188|E
2653669|102327|0|40599|0|0|1|100|20024|54855|E
2621441|102338|3|13297|0|0|2|1179|20024|26773|E
2639065|102347|1|3571|0|0|0|0|20024|36023|E
2637325|102362|1|16808|1|245|0|0|20024|27643|E
2650217|102378|8|10442|2|3657|1|81|20024|48511|E
2685493|102382|2|0|0|0|0|0|20024|0|E
2645749|102411|0|0|0|0|0|0|20024|0|E
2651817|102413|2|3598|0|0|0|0|20024|30393|E
2634225|102423|1|26531|1|914|2|81|20024|39778|E
2688613|102425|3|53251|0|0|2|210|20024|61496|E
2627661|102428|1|18711|0|0|1|170|20024|35150|E
2649625|102439|3|7663|0|0|0|0|20024|21057|E
2642137|102449|0|0|0|0|0|0|20024|0|A
2693533|102455|0|3643|6|21655|6|27335|20024|9094|A
2651837|102456|2|3874|0|0|0|0|20024|38705|E
2648769|102460|0|0|0|0|0|0|20024|0|E
2645125|102473|0|4529|1|3028|5|4401|20024|36635|E
2648245|102474|2|26776|0|0|1|34|20024|47414|E
2648265|102475|2|15572|0|0|1|40|20024|60670|E
2627665|102481|16|9855|0|0|1|49|20024|25249|E
2696693|102482|0|0|0|0|0|0|20024|0|E
2653689|102498|1|1913|0|0|0|0|20024|39195|E
2634245|102506|2|8361|0|0|1|30|20024|47403|E
2661257|102532|0|5338|0|0|1|70|20024|12997|E
2635565|102535|6|2252|0|0|0|0|20024|22630|E
2642157|102537|8|9937|0|0|2|190|20024|45964|E
2632349|102542|1|5004|0|0|0|0|20024|16445|A
2635585|102545|0|22929|0|0|2|130|20024|28492|E
2662497|102570|0|20158|0|0|0|0|20024|46817|E
2648637|102575|1|0|0|0|0|0|20024|0|E
2627701|102576|1|3353|6|20764|7|12594|20024|10456|A
2654957|102585|1|730|5|10235|5|1874|20024|4450|A
2637365|102600|9|10998|0|0|0|0|20024|24878|A
2646865|102610|3|14357|0|0|0|0|20024|33695|E
2650249|102613|0|12768|0|0|1|31|20024|24053|E
2642177|102614|1|0|0|0|0|0|20024|0|E
2634021|102616|0|12959|0|0|2|60|20024|45474|E
2642889|102635|1|9737|0|0|0|0|20024|36637|E
2632369|102651|0|0|0|0|0|0|20024|0|E
2639969|102654|0|7469|0|0|1|30|20024|38912|E
2663857|102662|3|10175|0|0|0|0|20024|53579|E
2639989|102673|2|10587|0|0|1|40|20024|46403|E
2648789|102675|1|10089|0|0|1|30|20024|22256|E
2704233|102679|1|46329|0|0|0|0|20024|62107|E
2650269|102683|2|1994|0|0|0|0|20024|15639|E
2634265|102685|0|29640|0|0|1|40|20024|37164|E
2640009|102691|2|23677|0|0|0|0|20024|41395|E
2645809|102695|1|3192|0|0|0|0|20024|15027|E
2638609|102703|0|0|0|0|0|0|20024|0|E
2651245|102717|1|0|0|0|0|0|20024|0|E
2647017|102722|9|19803|2|870|0|0|20024|42900|E
2637229|102723|1|5980|0|0|1|30|20024|36773|E
2701193|102727|1|4185|0|0|1|2589|20024|31170|E
2641509|102738|0|0|0|0|0|0|20024|0|A
2627685|102747|4|2155|0|0|1|65|20024|43234|E
2621461|102753|1|40134|0|0|2|474|20024|58954|E
2650237|102761|0|4098|3|1849|1|40|20024|28421|E
2640029|102764|0|0|0|0|0|0|20024|0|E
2651265|102780|2|3994|0|0|0|0|20024|31335|E
2695013|102787|2|2446|0|0|3|2211|20024|17053|E
2685513|102788|0|0|0|0|0|0|20024|0|E
2685533|102792|0|0|0|0|0|0|20024|0|E
2621481|102798|0|48369|0|0|2|506|20024|59601|E
2647289|102802|0|0|0|0|0|0|20024|0|A
2686993|102803|0|6917|0|0|1|75|20024|25950|E
